,,From 01/06/2023 00:00 To 30/06/2023 23:00,,,
From,To,TotalPassengers,,,
SWD,SWN,101914,,,
SWN,STV,219356,,,
STV,STT,319837,,,
STT,SKP,433557,,,
SKP,STG,531920,,,
STG,SNW,584920,,,
SNW,STR,670929,,,
STR,STC,763788,,,
STC,SWA,852884,,,
SWA,SMA,933969,,,
SMA,SHC,989125,,,
SHC,SCC_C1,1063863,,,
SCC_C1,SGE,1475747,,,
SGE,SLI,1439528,,,
SLI,STL,1396282,,,
STL,SGM,1357770,,,
SGM,STE,1348049,,,
STE,SCR,1316488,,,
SCR,SSA,1274146,,,
SSA,SLM,1215533,,,
SLM,SGU,1203216,,,
SGU,SAL_C1,1010206,,,
SAL_C1,SOT,1033987,,,
SOT,SME,466719,,,
SME,SAP,357834,,,
